city,state,latitude,longitude
Delhi,Delhi,28.6139,77.2090
Mumbai,Maharashtra,19.0760,72.8777
Bengaluru,Karnataka,12.9716,77.5946
Chennai,Tamil Nadu,13.0827,80.2707
Kolkata,West Bengal,22.5726,88.3639
Hyderabad,Telangana,17.3850,78.4867
Pune,Maharashtra,18.5204,73.8567
Ahmedabad,Gujarat,23.0225,72.5714
Jaipur,Rajasthan,26.9124,75.7873
Lucknow,Uttar Pradesh,26.8467,80.9462
Kanpur,Uttar Pradesh,26.4499,80.3319
Nagpur,Maharashtra,21.1458,79.0882
Indore,Madhya Pradesh,22.7196,75.8577
Bhopal,Madhya Pradesh,23.2599,77.4126
Patna,Bihar,25.6093,85.1376
Vadodara,Gujarat,22.3072,73.1812
Surat,Gujarat,21.1702,72.8311
Visakhapatnam,Andhra Pradesh,17.6868,83.2185
Coimbatore,Tamil Nadu,11.0168,76.9558
Kochi,Kerala,9.9312,76.2673
Thiruvananthapuram,Kerala,8.5241,76.9366
Guwahati,Assam,26.1445,91.7362
Chandigarh,Chandigarh,30.7333,76.7794
Varanasi,Uttar Pradesh,25.3176,83.0064
Agra,Uttar Pradesh,27.1767,78.0081
Amritsar,Punjab,31.6340,74.8723
Ranchi,Jharkhand,23.3441,85.3096
Dehradun,Uttarakhand,30.3165,78.0322
Jodhpur,Rajasthan,26.2389,73.0243
Raipur,Chhattisgarh,21.2514,81.6296
Gwalior,Madhya Pradesh,26.2183,78.1828
Mysuru,Karnataka,12.2958,76.6394
Tiruchirappalli,Tamil Nadu,10.7905,78.7047
Jalandhar,Punjab,31.3260,75.5762
Noida,Uttar Pradesh,28.5355,77.3910
Gurugram,Haryana,28.4595,77.0266
Faridabad,Haryana,28.4089,77.3178
Ghaziabad,Uttar Pradesh,28.6692,77.4538
Thane,Maharashtra,19.2183,72.9781
Navi Mumbai,Maharashtra,19.0330,73.0297
